Item,Price,Source
Base Nema 23,24.14,https://www.omc-stepperonline.com/nema-23-closed-loop-stepper-motor-2-00nm-283-22oz-in-with-magnetic-encoder-1000ppr-4000cpr-23hs30-5004-me1k 
Flanged Shaft Coupler,0.99,https://es.aliexpress.com/item/1005008673425190.html?spm=a2g0o.productlist.main.5.55c625dffISXj2&algo_pvid=3d72716c-bdd9-438d-8c04-513551b9a89b&algo_exp_id=3d72716c-bdd9-438d-8c04-513551b9a89b-4&pdp_ext_f=%7B%22order%22%3A%22200%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21COP%217398.12%213795.00%21%21%211.93%210.99%21%402103212517629098055642787e11e1%2112000046185236117%21sea%21CO%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42427c58%3Bm03_new_user%3A-29895%3BpisId%3A5000000187454076&curPageLogUid=lKs5Eg9ViZox&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008673425190%7C_p_origin_prod%3A
Thrust Ball Bearing,1.78,https://es.aliexpress.com/item/1005003745073744.html?spm=a2g0o.productlist.main.3.383f40bd9O3xQE&algo_pvid=440aa551-decb-458c-9d22-c76342ec242a&algo_exp_id=440aa551-decb-458c-9d22-c76342ec242a-2&pdp_ext_f=%7B%22order%22%3A%2252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21COP%218747.44%216823.00%21%21%212.28%211.78%21%402101e2b417629107119933009ecca4%2112000027015716646%21sea%21CO%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42427c58%3Bm03_new_user%3A-29895&curPageLogUid=OX03rLIg4yR6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003745073744%7C_p_origin_prod%3A
